,de,en,start
358, Wir haben nur Spaß gemacht.  ,  We were joking around!   ,00:19:53
359," Ok, er war eingeweiht.   Er war mein Komplize.  ","  Okay, he was in on it.   ",00:19:55
360, Das sollte den Zusammenhalt stärken.  ,  And it was just kind of   ,00:19:58
361," Wir haben dem Neuen   eine Tour durchs Büro gegeben,  ",  And we were showing   ,00:20:01
362," ihm gezeigt, wie das bei uns so läuft.  ",  kind of giving him   ,00:20:04
363, Von daher…  ,  So you sh--   ,00:20:07
364," -Mein Gott, wir haben dich voll…   -Du bist ein Idiot!  ","  God, you were--   ",00:20:10
365, Das sehe ich anders.  ,"  Ah, I don't know   ",00:20:14
366, Was ist das Wichtigste in einer Firma?  ,  (Michael)   ,00:20:31
367, Ist es der Cash-Flow?  ,  Is it the cash flow?   ,00:20:35
368," Nein, es sind die Menschen,  ",  Nuh-uh.   ,00:20:39
369, die Menschen.  ,  The people.   ,00:20:43
370," Mein stolzester Moment hier war nicht,  ",  My proudest moment here   ,00:20:45
371," als ich den Gewinn   um 17 % gesteigert habe,  ",  was not when   ,00:20:47
372," oder als ich die Ausgaben gesenkt habe,   ohne Mitarbeiter zu entlassen.  ",  Or when I cut expenses   ,00:20:50
373, Nein.  ,"  No, no, no, no, no.   ",00:20:54
374, Da war ein junger Guatemalteke.  ,  It was a young   ,00:20:56
375," Sein erster Job in diesem Land,   sprach kaum Englisch.  ","  First job in the country,   ",00:20:59
376, Er kam zu mir und sagte:  ,"  Came to me and said,   ",00:21:02
377," ""Mr. Scott.  ",  [Spanish accent]   ,00:21:04
378," würden Sie der Taufpate   meines Kindes werden?""  ",  would you be the godfather   ,00:21:07
379, Daraus wurde nichts.  ,  Didn't work out in the end.   ,00:21:21
380, Wir feuerten ihn. Er war nutzlos.  ,  We had to let him go.   ,00:21:22
381, Hallo.  ,  Hey.   ,00:21:30
382, Hallo.  ,  - Hey.   ,00:21:31
383, -Hallo.   -Wie geht's?  ,  - How are you?   ,00:21:32
384," Gut. Ich dachte,   du gehst was trinken, mit den…  ",  I thought you were   ,00:21:34
385," Oh, nein.  ","  Oh, no, no.   ",00:21:36
386, Ich habe es mir anders überlegt.  ,"  Just going to, uh...   ",00:21:38
387, Und deine Kopfschmerzen?  ,  How's your headache?   ,00:21:40
388," -Besser, danke.   -Gut.  ",  - It's better. Thanks.   ,00:21:42
389," -Gut, das ist toll.   -Ja.  ","  Good, that's great.   ",00:21:43
390, -Ist…   -Ja?  ,"  - Is, uh--   ",00:21:45
391, Wirst du…  ,"  Um, are you, uh...   ",00:21:47
392, -Ob ich jetzt gehe?   -Willst du… Ja.  ,  Am I walking out?   ,00:21:49
393," -Ja, möchtest du…   -Ja.  ",  Yes.   ,00:21:52
394, Lass mich nur schnell…  ,  Let me just--   ,00:21:55
395," -Oh, Roy.   -Ja.  ","  - Oh, Roy.   ",00:21:57
396, Hab ein schönes Wochenende.  ,"  Listen,   ",00:21:59
397," Ja, klar, du auch.  ","  Yeah, definitely.   ",00:22:00
